Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Costa Rica,CRI,5033.09994187275,7829.81296167726,12329.930057934,12141.9349812074,12737.0201761635,13397.2305422386,14133.6881806511,14524.6715007822,15140.4703680613,15694.6192037295,16387.0490387679,17044.188557284
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cote d'Ivoire,CIV,2064.23166352787,2336.35692095684,2567.19074324489,2612.06386869209,2635.83777138699,2511.42019511915,2762.34142570319,2980.26505984223,3217.771021641,3451.87741812407,3693.6523955676,3953.38132490405
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Croatia,HRV,..,10753.2483025995,20246.9894249813,19447.294585536,19239.748618533,20750.4433202401,21162.9955563574,21779.9839888272,22057.0055290571,22723.6142631873,23710.4090935342,25264.4381799714
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cyprus,CYP,13178.9954720093,21709.1550859041,34823.6542391999,33882.0964676342,33263.0158296105,33192.5929772985,31914.6243464725,30620.7071488539,30383.5148225188,31523.9268785245,32882.2186186017,34503.470334028
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Czech Republic,CZE,12666.4626474303,16188.2271902154,27844.7953264656,27594.3468593931,27694.4019837579,28797.4179611691,29047.2464395949,30485.7141541113,32263.3157548997,33468.7264974291,34749.2123632656,36915.9326342973
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,18225.0189820247,28657.5407904467,41278.328843462,40332.4514172306,43041.5420245418,44403.3941459257,44803.9622367418,46726.853320478,47901.4475803125,48674.8407494886,49029.0148389124,50540.8137719498
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Djibouti,DJI,..,..,..,..,..,2705.40558882684,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominica,DMA,4349.83607740256,6480.08268298602,9897.4504642508,9834.51240816593,9991.97628607623,10135.2740298011,10164.9581567007,10215.8789204852,10803.2619103343,10586.7704070825,10947.7152243907,10619.9515762264
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominican Republic,DOM,3540.00579214151,6499.85349756259,10044.0995602192,10078.8701375143,10907.3564141427,11333.5470863931,11706.6926041864,12322.3862089174,13339.7627043004,14264.8354918036,15227.9420223578,16029.6237067323
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ecuador,ECU,4829.41672331633,5855.63475390995,8920.50082665879,8889.21352587757,9163.15913647781,9926.90344109607,10512.3187519049,11037.3467676481,11483.9968026309,11446.3651373736,11242.0475160365,11617.4288537517
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Egypt, Arab Rep.",EGY,3819.28637022443,5856.2217206123,8939.28213481048,9255.38392726248,9658.06521473712,9823.82328675711,10003.3542171587,10156.4148475603,10407.7816716365,10750.4563039463,11134.0267191301,11582.593997058
