Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Somalia,3660,2809,3159,2305,2277,1829,1574,1622,3139,3918,4881,8997,8851,4070,3577,8021,4230,3009,3180
South Africa,4576,4255,4402,2206,4096,1364,3238,3048,3148,3313,4012,1378,1217,1308,1159,1244,1344,1641,1954
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,32,56,40
Spain,16964,18338,19775,20541,21029,5693,20064,19996,20895,22848,25584,8060,7966,8352,9694,10479,9976,9762,9671
Sri Lanka,3669,3162,3396,928,2474,634,1516,1409,1389,1516,1693,530,512,468,423,432,444,362,334
St. Kitts and Nevis,7,1,2,2,0,3,1,4,2,4,11,2,2,0,0,3,3,3,4
St. Lucia,36,30,32,9,37,7,19,20,14,19,21,8,12,3,4,7,13,8,6
St. Vincent and the Grenadines,30,24,28,4,44,0,19,14,12,9,8,3,4,4,0,0,0,2,6
Sudan,1770,1332,2033,1462,1444,519,1190,997,886,978,1157,828,1124,1322,1192,1687,2271,2554,3409
Suriname,4638,3151,3454,3416,3373,3375,2840,2154,1823,1968,2213,2014,1775,1796,1539,1458,1451,1444,1892
Swaziland,33,34,55,9,19,8,32,42,22,24,18,11,10,14,16,21,24,17,23
Sweden,7501,7247,6902,6779,6549,3343,7278,7411,7597,8563,8242,5204,5298,5058,4650,5208,4847,4618,4716
Switzerland,9881,9759,9924,1902,10227,1670,10756,11022,12311,13310,14938,1736,1966,2082,2133,2180,2326,2493,2735
Syrian Arab Republic,4399,5725,6784,2489,5974,2263,4002,3458,3928,4333,5833,3734,3168,3879,7210,17394,34491,50700,72104
Tajikistan,337,228,167,59,245,29,162,165,177,231,223,43,29,34,47,54,27,22,42
Tanzania,986,857,835,524,906,514,774,735,793,890,882,413,398,397,381,308,335,326,382
Thailand,7282,8120,9252,3221,11076,4027,10357,9816,9817,9523,9836,5324,5373,4688,4295,3820,3701,3495,3528
Timor-Leste,0,0,0,0,4,0,2,3,1,6,6,2,2,3,1,2,5,1,2
Togo,1172,1246,1124,239,2067,177,903,730,572,465,467,60,56,49,61,26,34,26,33
Tonga,21,30,29,11,21,11,10,10,13,7,13,6,1,7,1,3,1,1,4
Trinidad and Tobago,132,125,122,45,108,40,82,75,104,134,92,39,84,49,47,33,56,46,73
Tunisia,2919,2861,3116,411,3094,419,3161,2856,2917,2589,2514,440,451,444,693,428,462,505,494
Turkey,58000,56232,58628,8875,67674,8945,48943,41644,37288,34438,35345,6749,7113,6065,5771,5914,7484,12322,17251
Turkmenistan,498,381,459,13,323,17,334,238,184,159,165,21,7,11,3,3,4,7,5
Turks and Caicos Islands,0,5928,0,1,3,2,0,0,1,6,3,3,1,5,2,1,1,2,1
Tuvalu,23,15,8,0,9,0,1,4,4,4,15,0,0,0,0,0,0,1,0
Uganda,640,615,600,380,699,330,627,787,799,824,844,656,600,484,869,1408,1291,1322,1245
Ukraine,17367,18582,22496,1483,25574,1545,18789,13728,10215,10754,9554,2466,2306,2274,2298,2436,2854,2667,2761
United Arab Emirates,731,926,814,431,936,462,1491,2129,2066,2397,2436,1296,1070,934,1125,1204,1619,2211,3211
United Kingdom,28368,30289,31649,31073,28278,12601,24476,23746,24985,26791,29964,12507,11979,12618,12604,12808,13558,14505,16650
United States,39557,35234,40948,12453,40528,11193,36288,35591,36656,39124,40968,10561,10393,10585,10460,10312,11135,11770,12012
Uruguay,275,251,331,133,401,163,271,213,226,260,231,69,59,63,72,69,50,88,107
Uzbekistan,2522,2326,2370,198,2633,195,1914,1983,1225,1225,1106,351,329,421,314,246,245,227,255
Vanuatu,12,9,1,3,8,4,16,8,7,13,8,10,2,1,1,1,2,1,5
"Venezuela, RB",1087,1168,1339,386,1165,340,936,927,859,968,995,265,298,242,234,216,247,252,270
Vietnam,6936,7097,6983,1261,8254,1122,6882,5891,5766,5343,5134,1221,1343,1381,1300,1145,1318,1391,1588
Palestine,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,910
"Yemen, Rep.",362,577,597,154,579,100,504,390,524,529,684,327,332,413,295,536,246,349,444
Zambia,322,327,352,202,311,196,308,322,321,284,355,143,136,126,123,121,151,149,192
Zimbabwe,443,474,568,312,463,167,412,309,289,275,370,184,116,128,212,94,88,89,144
